function,source,sequence,x1,x2,x3,x4,x5,x6,x7,x8,output,external_hash_verified
3,starter,5,0.13462166632061112,0.2199172404897456,0.45820621964922703,,,,,,-0.04800758439218157,False
3,starter,6,0.3455232705197697,0.9413598305723256,0.2693634790694064,,,,,,-0.11062091307282658,False
3,starter,7,0.151836632374168,0.43999061896644376,0.990881866558951,,,,,,-0.3989255131463011,False
3,starter,8,0.6455028351793182,0.3971429395797703,0.9197713377032198,,,,,,-0.11386851478863991,False
3,starter,9,0.7469119451655177,0.28419630922573424,0.22629985488752546,,,,,,-0.13146060864136055,False
3,starter,10,0.17047699396968063,0.697032400686134,0.14916943370830027,,,,,,-0.09418956091057398,False
3,starter,11,0.2205493370831766,0.2978252442230862,0.34355534441672586,,,,,,-0.04694740582651916,False
3,starter,12,0.6660136587669346,0.6719851513369297,0.2462952966705313,,,,,,-0.10596503573558178,False
3,starter,13,0.046808949722497384,0.2313602407834674,0.7706175921643,,,,,,-0.11804825644688696,False
3,starter,14,0.6000972824185008,0.7251357252228826,0.06608864149534865,,,,,,-0.036377828071632486,False
3,starter,15,0.9659948489488087,0.8611196897300882,0.5668291312870885,,,,,,-0.05675837155397648,False
3,week_01,1,0.53,0.64,0.25,,,,,,-0.10183633971746164,False
3,week_02,2,0.75,0.25,0.75,,,,,,-0.1332555781557258,False
3,week_03,3,0.2,0.8,0.2,,,,,,-0.12787021171886992,False
3,week_04,4,0.85,0.15,0.85,,,,,,-0.06037987403160633,False
3,week_05,5,0.9,0.1,0.9,,,,,,-0.11392206377710448,False
3,week_06,6,0.95,0.05,0.95,,,,,,-0.3071823694141529,False
3,week_07,7,0.25,0.85,0.3,,,,,,-0.09116928906376276,False
3,week_08,8,0.26,0.86,0.29,,,,,,-0.0991107637427902,False
3,week_09,9,0.255,0.855,0.295,,,,,,-0.1156707106126581,False
3,week_10,10,0.28,0.875,0.315,,,,,,-0.08697581687486715,False
3,week_11,11,0.84,0.16,0.84,,,,,,-0.06542982421105416,False
3,week_12,12,0.85,0.15,0.85,,,,,,-0.05985127532683556,False
3,week_13,13,0.855,0.145,0.855,,,,,,-0.05685061601567621,False
4,starter,1,0.8969810543559719,0.7256279703482243,0.17540430890241154,0.7016943693717497,,,,,-22.108287785435817,False
4,starter,2,0.8893563957199797,0.49958785537696504,0.5392688577643431,0.5087834390633533,,,,,-14.601396631953161,False
4,starter,3,0.25094624275233424,0.03369313054735357,0.14538002473552147,0.49493242056497855,,,,,-11.699932463834426,False
4,starter,4,0.34696206091432413,0.006250400244917853,0.7605636064368956,0.6130235572343078,,,,,-16.053765110568296,False
4,starter,5,0.1248711812207095,0.12977019306510673,0.38440048300130336,0.28707610106061277,,,,,-10.069633426012889,False
4,starter,6,0.8013027073487429,0.5002310937156627,0.7066445599562093,0.19510284101191622,,,,,-15.487082537755288,False
4,starter,7,0.2477082618994807,0.060445427321989764,0.04218634513719777,0.44132425054403157,,,,,-12.68168497681565,False
4,starter,8,0.7467022420948025,0.7570915044306501,0.3693530595537917,0.20656628103766395,,,,,-16.02639976898352,False
4,starter,9,0.400665027194423,0.07257425107127335,0.8867682538447798,0.24384228978922717,,,,,-17.049234647535723,False
4,starter,10,0.6260705961944015,0.5867512592598441,0.4388057821707446,0.7788576937904925,,,,,-12.741765988316185,False
4,starter,11,0.9571352930644363,0.5976443830130996,0.7661138515714809,0.7762099053238541,,,,,-27.316396356142608,False
4,starter,12,0.7328124260168783,0.14524997897358805,0.47681271763115285,0.13336573404584584,,,,,-13.527648872277506,False
4,starter,13,0.6551154792459779,0.07239182690482326,0.6871517458198465,0.08151656419033015,,,,,-16.679115197479913,False
4,starter,14,0.21973442915914299,0.8320313351480582,0.4828641624528299,0.08256923057524457,,,,,-16.50715856428234,False
4,starter,15,0.48859418950356637,0.2119650955674609,0.9391779073552307,0.37619172590371996,,,,,-17.81799933882949,False
4,starter,16,0.16713048556058774,0.8765545582566224,0.21723954496692865,0.9598009845510594,,,,,-26.561820829779602,False
4,starter,17,0.21691118811255716,0.16608582897898938,0.24137225639083593,0.7700624756956358,,,,,-12.758324216781741,False
4,starter,18,0.38748783671725395,0.8045322581845359,0.7517954827501873,0.7238274385488449,,,,,-19.441557624451722,False
4,starter,19,0.9856218929694016,0.6669326785131365,0.15678328252958762,0.8565348006982442,,,,,-28.90327367383377,False
4,starter,20,0.03782482853334601,0.6648533464557935,0.1619821750221554,0.2539237802262948,,,,,-13.702746938161251,False
4,starter,21,0.6834863848727072,0.9027701030814779,0.3354198256002018,0.9994825612275692,,,,,-29.427091401989347,False
4,starter,22,0.1703473054043091,0.7569590826298485,0.2765204860603998,0.5312314975365982,,,,,-11.565741989583191,False
4,starter,23,0.8596569193380881,0.9195923219593923,0.2061387278543615,0.09779683100452252,,,,,-26.857786437773637,False
4,starter,24,0.28213836819277516,0.5059869120612994,0.5305308425014074,0.09630162301775336,,,,,-7.9667753510303925,False
4,starter,25,0.3260757847990565,0.47236690365870715,0.45319199560129586,0.10588733843025877,,,,,-6.702089254839066,False
4,starter,26,0.9483893624466845,0.8945130079782345,0.8516378174441099,0.5521962863978067,,,,,-32.625660215962455,False
4,starter,27,0.6649553897315406,0.04656627674464964,0.11677746938768019,0.7937177796214518,,,,,-19.98949792679556,False
4,starter,28,0.5777656143780968,0.4287717415443063,0.4258258674882194,0.24900741466191134,,,,,-4.025542281908162,False
4,starter,29,0.7386130139763387,0.48210263436120226,0.7093664425017454,0.503970013890856,,,,,-13.122782331852594,False
4,starter,30,0.854810796763389,0.4939646196379057,0.7353099749980351,0.808092012668331,,,,,-23.139428397634813,False
4,week_01,1,0.6,0.43,0.42,0.25,,,,,-4.359874926582439,False
4,week_02,2,0.2,0.8,0.8,0.8,,,,,-23.120154471959825,False
4,week_03,3,0.8,0.2,0.2,0.2,,,,,-14.554028542475695,False
4,week_04,4,0.9,0.1,0.1,0.1,,,,,-22.55187651826871,False
4,week_05,5,0.95,0.05,0.05,0.05,,,,,-27.44051496086922,False
4,week_06,6,0.98,0.02,0.02,0.02,,,,,-31.20347777578016,False
4,week_07,7,0.3,0.7,0.65,0.25,,,,,-10.745961383135121,False
4,week_08,8,0.32,0.72,0.68,0.22,,,,,-12.305008897187289,False
4,week_09,9,0.31,0.71,0.67,0.23,,,,,-11.788939969158545,False
4,week_10,10,0.29,0.73,0.69,0.21,,,,,-13.483642655031158,False
4,week_11,11,0.62,0.42,0.44,0.25,,,,,-4.868852987697114,False
4,week_12,12,0.6,0.43,0.42,0.25,,,,,-4.359874926582439,False
4,week_13,13,0.6,0.43,0.42,0.25,,,,,-4.359874926582439,False
5,starter,1,0.1914470844571281,0.03819337135150802,0.6074178108720669,0.4145841369758819,,,,,64.443439863301,False
5,starter,2,0.7586529492430261,0.5365177380716337,0.6560003817255494,0.36034155302921755,,,,,18.30137959857266,False
5,starter,3,0.43834987265310876,0.8043397048222797,0.21024526639869967,0.15129481609432094,,,,,0.1129397953712203,False
5,starter,4,0.7060508340594309,0.5341919611519633,0.2642433451718953,0.48208754903709394,,,,,4.210898128938665,False
5,starter,5,0.8364779930351233,0.19360964686178006,0.6638926969585176,0.7856488828898288,,,,,258.3705254462536,False
5,starter,6,0.6834322498676915,0.11866264178849073,0.8290459096967396,0.5675766059352313,,,,,78.43438888779464,False
5,starter,7,0.553621479516824,0.6673499787364745,0.3238058191550842,0.8148697537245304,,,,,57.57153693261287,False
5,starter,8,0.35235626946595233,0.32224153197183136,0.11697936758857319,0.4731125215557709,,,,,109.5718755614928,False
5,starter,9,0.15378570594381347,0.7293816904129607,0.4225984366784806,0.4430741656488165,,,,,8.847991759070865,False
5,starter,10,0.46344226738528294,0.630024510146729,0.10790645581865044,0.957643898670113,,,,,233.22361017104996,False
5,starter,11,0.6774911484129013,0.3585095065455117,0.47959222446529515,0.07288048110014078,,,,,24.423088313942344,False
5,starter,12,0.5839734124984879,0.1472426461525712,0.34809746209352754,0.4286146510285499,,,,,64.42014681963983,False
5,starter,13,0.3068887187315784,0.3168781265532129,0.6226344812966896,0.09539905810631732,,,,,63.47671578508436,False
5,starter,14,0.5111417749497505,0.8179569972191587,0.7287104181315311,0.1123536230961304,,,,,79.72912992694343,False
5,starter,15,0.4389333758453766,0.7740917616539319,0.37816708638741714,0.933696206815422,,,,,355.8068177560159,False
5,starter,16,0.22418902330288348,0.8464804904862864,0.8794841797090803,0.8785156842249731,,,,,1088.8596181962705,False
5,starter,17,0.7252617231526987,0.47987048629522777,0.08894684260658514,0.7597602201100938,,,,,28.866751637393822,False
5,starter,18,0.35548160950061236,0.639619366711706,0.41761767886414536,0.12260383967133603,,,,,45.181570346703786,False
5,starter,19,0.11987922582428101,0.8625403059525095,0.6433313263318788,0.8498038287021323,,,,,431.6127567592104,False
5,starter,20,0.12688467007850324,0.15342962125134962,0.770162187580243,0.19051810509577394,,,,,9.972331894593824,False
5,week_01,1,0.21,0.87,0.9,0.9,,,,,1415.8763939603884,False
5,week_02,2,0.18,0.9,0.95,0.95,,,,,2308.1487028593933,False
5,week_03,3,0.17,0.92,0.97,0.97,,,,,2840.9903787629305,False
5,week_04,4,0.16,0.94,0.98,0.98,,,,,3238.333368768757,False
5,week_05,5,0.15,0.96,0.99,0.99,,,,,3682.2110623386798,False
5,week_06,6,0.14,0.97,0.995,0.995,,,,,3922.7652233497042,False
5,week_07,7,0.12,0.99,0.999,0.999,,,,,4278.816638076986,False
5,week_08,8,0.12,0.995,0.9995,0.9995,,,,,4359.384134322703,False
5,week_09,9,0.12,0.997,0.9998,0.9998,,,,,4394.868042481448,False
5,week_10,10,0.12,0.997,0.9998,0.9998,,,,,4394.868042481448,False
5,week_11,11,0.11,0.998,0.9999,0.9999,,,,,4411.0387356061765,False
5,week_12,12,0.1,0.999,1.0,1.0,,,,,4427.343995806448,False
5,week_13,13,0.09,0.999999,0.999999,0.999999,,,,,4440.957216598753,False
6,starter,1,0.7281861047460138,0.1546925696237983,0.7325516687239811,0.6939965090690888,0.056401310518258585,,,,-0.7142649478202404,False
6,starter,2,0.24238434723790758,0.8440999723462298,0.5778090988182423,0.6790212842838805,0.5019528879463457,,,,-1.2099552446764819,False
6,starter,3,0.7295226100931684,0.7481062003003915,0.6797746408949024,0.3565522793389573,0.6710536834597941,,,,-1.6721999396105658,False
6,starter,4,0.770620241725545,0.11440374416322774,0.0467799318531783,0.6483242845395736,0.2735490526883131,,,,-1.5360577085694833,False
6,starter,5,0.6188122987341569,0.33180213718420826,0.18728786777392725,0.756238474019041,0.3288347983365967,,,,-0.8292365522578722,False
6,starter,6,0.7849580941321159,0.9106823491056887,0.7081201035127033,0.9592254289504146,0.004911495864404647,,,,-1.2470489267904978,False
6,starter,7,0.14511078573766278,0.8966845977360148,0.8963222346125226,0.7262715366744776,0.23627199091209328,,,,-1.2337863805718483,False
6,starter,8,0.9450690681186655,0.28845905059517574,0.9788057635601997,0.9616555869902994,0.5980159363909763,,,,-1.6943434420704928,False
6,starter,9,0.12572015503019873,0.8627246921598651,0.028544332231059788,0.24660527193052817,0.7512062409044311,,,,-2.5711696316081234,False
6,starter,10,0.7575943553544202,0.35583141491553005,0.01652289968556364,0.43420720498662724,0.1124330443582503,,,,-1.309116352823696,False
6,starter,11,0.5367969034860786,0.30878090723949325,0.41187928506492233,0.388225176718074,0.5225283039122706,,,,-1.1447848512705794,False
6,starter,12,0.9577396688833609,0.23566857232470817,0.09914584955722228,0.1568059338564619,0.07131737310621111,,,,-1.9126771431925136,False
6,starter,13,0.6293078953337721,0.803483678101385,0.8114084389735914,0.045613185779449616,0.11062446198967957,,,,-1.622838951777173,False
6,starter,14,0.021735307663796388,0.42808424031907244,0.8359394371193622,0.48948865944643416,0.511081734720247,,,,-1.3566821093823407,False
6,starter,15,0.4393442638884286,0.6989238329035616,0.4268202222118266,0.10947608505219697,0.8778884681100685,,,,-2.018425399374782,False
6,starter,16,0.2589055738489062,0.7936777082611537,0.6421139049230902,0.19667346401384578,0.593103176750458,,,,-1.7025578405650035,False
6,starter,17,0.4321659328846983,0.7156178127534056,0.3418191030223866,0.7049998807959096,0.6149618447218453,,,,-1.2942469649550403,False
6,starter,18,0.7828798232609253,0.5363358585071114,0.4432835567472584,0.8596998258165416,0.010325990675527863,,,,-0.9357565553342914,False
6,starter,19,0.9217761980413874,0.9318712161635005,0.41487636976457365,0.5950572655783101,0.7356256864317131,,,,-2.1557677641786004,False
6,starter,20,0.12667891706137568,0.29147030149847064,0.06452847667069161,0.6805146028541535,0.892819191058788,,,,-1.7468820870493065,False
6,week_01,1,0.75,0.18,0.7,0.72,0.04,,,,-0.7001549808025808,False
6,week_02,2,0.25,0.75,0.3,0.3,0.8,,,,-2.0702463923015775,False
6,week_03,3,0.7,0.2,0.7,0.7,0.2,,,,-0.648848297397347,False
6,week_04,4,0.8,0.15,0.8,0.8,0.15,,,,-0.8733671274789931,False
6,week_05,5,0.9,0.1,0.9,0.9,0.1,,,,-1.073875453695542,False
6,week_06,6,0.95,0.05,0.95,0.95,0.05,,,,-1.3792272680368016,False
6,week_07,7,0.25,0.75,0.25,0.8,0.3,,,,-1.119713499832813,False
6,week_08,8,0.24,0.76,0.24,0.82,0.28,,,,-1.1197178425911847,False
6,week_09,9,0.24,0.76,0.24,0.82,0.28,,,,-1.1733030029888645,False
6,week_10,10,0.26,0.78,0.26,0.84,0.3,,,,-1.2283806967341901,False
6,week_11,11,0.72,0.19,0.7,0.71,0.15,,,,-0.7268715077444687,False
6,week_12,12,0.7,0.2,0.7,0.7,0.2,,,,-0.7078316130911375,False
6,week_13,13,0.7,0.2,0.7,0.7,0.2,,,,-0.6071562248604215,False
7,starter,1,0.2726238220336933,0.3244953623087271,0.8971088103082926,0.8329511521103058,0.1540626853924547,0.7958636234722036,,,0.6044326958745716,False
7,starter,2,0.5430025769847714,0.9246939036961066,0.3415674591580987,0.6464858491139559,0.7184403268342174,0.343132663729359,,,0.5627530668655433,False
7,starter,3,0.09083224802375334,0.661529381768249,0.0659309106387106,0.2585770079605848,0.9634528513541345,0.6402653979255966,,,0.007503236678049401,False
7,starter,4,0.11886697487294917,0.6150549401610158,0.905816385208328,0.8553003035780179,0.41363142879453507,0.5852356278450974,,,0.06142430250355775,False
7,starter,5,0.6302176411815951,0.8380968963061266,0.6800130516496496,0.7318950900926644,0.5267367145175407,0.3484292133580069,,,0.27304680126759867,False
7,starter,6,0.7649191728046694,0.25588291701198074,0.6090842238764527,0.21807904189508076,0.3229427691734139,0.09579365511638072,,,0.08374657232015563,False
7,starter,7,0.057895541971385245,0.49167221863901367,0.24742222374867484,0.21811843639837636,0.42042832954601583,0.7309698428701273,,,1.3649683044991994,False
7,starter,8,0.19525188113467162,0.07922665059137424,0.5545804616685562,0.17056681968240583,0.014944176429292355,0.10703171010323376,,,0.09264495494793601,False
7,starter,9,0.6423029815827472,0.8368745468225558,0.021792691485860827,0.10148800953865356,0.6830708282995157,0.6924164003473481,,,0.017869598722495817,False
7,starter,10,0.7899425542216801,0.19554500526335772,0.5756233261057669,0.07365918727355969,0.2590491743381623,0.05109986421364299,,,0.03356493603703717,False
7,starter,11,0.528497327736147,0.45742435534127646,0.3600956902472011,0.36204550639420896,0.8168909784453008,0.6374763663139539,,,0.07351630421016164,False
7,starter,12,0.7226152153368091,0.011812836708676278,0.06364591290841193,0.16517310603711322,0.07924414600207474,0.3599516573745739,,,0.20630969795359433,False
7,starter,13,0.075664921203212,0.33450211886956494,0.13273273734822777,0.6083123613447988,0.9183859177326257,0.8223307855119826,,,0.008825633999510857,False
7,starter,14,0.9424508393797228,0.3774396214241422,0.4861223262441836,0.22879108306138052,0.08263174710408516,0.7119575508609557,,,0.26840031693744637,False
7,starter,15,0.14864702139126218,0.03394336343938997,0.7288056495692345,0.3160664556651587,0.021769382750669197,0.516917757345384,,,0.6115255284647864,False
7,starter,16,0.8171123887819559,0.548168230898132,0.10334757767053271,0.12436954581241633,0.7282348211044535,0.4496736121668913,,,0.01479818260270181,False
7,starter,17,0.41762629271823204,0.06409998138921869,0.2456687739007659,0.5590407960737909,0.19153138403844328,0.2546409230877973,,,0.2748925084715891,False
7,starter,18,0.7262856636678173,0.46489580525881,0.9245705141349381,0.807245395137576,0.6354383951825947,0.14341787438449227,,,0.06676324688193327,False
7,starter,19,0.3198104328384902,0.52009758758482,0.2906777543222766,0.8767066778579525,0.4950346891082852,0.6190824996433428,,,0.0421183545380621,False
7,starter,20,0.8798712775855185,0.3979619901837962,0.0036345648296357558,0.9569906396679158,0.264513732508431,0.11486924139305399,,,0.0027014650245082332,False
7,starter,21,0.541240780459459,0.6314031426898206,0.03190204632766469,0.4499815599100049,0.7986528164952386,0.6337042906107708,,,0.018209073006581165,False
7,starter,22,0.22634792132156234,0.1150258139009348,0.8247496553939904,0.9453837248568,0.905311527631774,0.9510139152470551,,,0.007016027558514625,False
7,starter,23,0.6868525698557914,0.041017207781653076,0.007573010669658098,0.2850089958322135,0.6915684836560828,0.6555428970136261,,,0.10050661080108167,False
7,starter,24,0.1759775366488313,0.6244164970552419,0.295541983522259,0.4695527590211096,0.09776977047772617,0.7281410813045498,,,0.4753955163956208,False
7,starter,25,0.8816467367680777,0.20445018835916196,0.41447435851921566,0.4203846784242615,0.26491501481740265,0.7306601868760868,,,0.6751416308956351,False
7,starter,26,0.06661051056630118,0.5280450659529847,0.8160951953117404,0.9610171372277223,0.08650933371690395,0.7777882160330215,,,0.5164572186199785,False
7,starter,27,0.9324663796298105,0.4888118879321913,0.25860774176353407,0.9562434362289866,0.19042781042449652,0.5198517579933358,,,0.003777479616578685,False
7,starter,28,0.8468669651542917,0.14242917164851432,0.060668589780987436,0.7562921279692766,0.5523982951979418,0.08130608715208898,,,0.003134333310934767,False
7,starter,29,0.8062820836261164,0.3241223746901364,0.7260760130795909,0.14871213154104346,0.7193764014954694,0.3628839783884743,,,0.021342522787312367,False
7,starter,30,0.4768231286900887,0.3409419502762441,0.014335232417323152,0.8801395630913645,0.9986546964586872,0.0796640185732378,,,0.0954111589101041,False
7,week_01,1,0.05,0.5,0.25,0.22,0.42,0.74,,,1.3199939052019112,False
7,week_02,2,0.08,0.55,0.3,0.25,0.45,0.78,,,1.0696579739950232,False
7,week_03,3,0.1,0.58,0.32,0.27,0.47,0.8,,,0.8966026942687082,False
7,week_04,4,0.06,0.52,0.28,0.24,0.44,0.76,,,1.1968303712356705,False
7,week_05,5,0.04,0.48,0.26,0.22,0.42,0.74,,,1.3809299933612855,False
7,week_06,6,0.05,0.5,0.25,0.2,0.4,0.75,,,1.3529491169887171,False
7,week_07,7,0.05,0.52,0.24,0.18,0.41,0.77,,,1.1543358123792982,False
7,week_08,8,0.06,0.5,0.25,0.22,0.42,0.74,,,1.3346391663186332,False
7,week_09,9,0.058,0.495,0.248,0.218,0.425,0.742,,,1.314307996450604,False
7,week_10,10,0.06,0.5,0.25,0.22,0.43,0.74,,,1.285160161342515,False
7,week_11,11,0.045,0.485,0.255,0.22,0.42,0.745,,,1.3579108517237013,False
7,week_12,12,0.04,0.48,0.26,0.22,0.42,0.74,,,1.3809299933612855,False
7,week_13,13,0.04,0.48,0.26,0.22,0.42,0.74,,,1.3809299933612855,False
8,starter,1,0.604994452514612,0.29221501955932727,0.9084527476191498,0.35550624198849134,0.2016687192685087,0.575338005282615,0.3103109513417007,0.7342813769904157,7.398721101163708,False
8,starter,2,0.1780069588998261,0.5662226539934582,0.994861844649882,0.21032500605287419,0.3201526568994505,0.7079087917386544,0.635384488933402,0.1071316266051805,7.005227361900734,False
8,starter,3,0.009076976680729043,0.8116261525080638,0.5205203597642096,0.07568667521428252,0.2651118251498523,0.09165168939924984,0.5924151454340054,0.36732026219027936,8.45948161622808,False
8,starter,4,0.5060281642263985,0.6537301230139242,0.3634107791850698,0.17798104853190577,0.09372830436573298,0.1974253305870869,0.7558269002800702,0.29247233865659084,8.284007811285548,False
8,starter,5,0.35990926424958747,0.24907567901155137,0.4959971701962457,0.709214980573863,0.11498719465194007,0.28920692081786503,0.5572951508023158,0.593881726256155,8.606116791392116,False
8,starter,6,0.7788183442411031,0.0034194994840646142,0.3379831296954995,0.5195277781785284,0.8209069931953403,0.5372466890767038,0.5513470979709983,0.6600320863046285,8.541747923679363,False
8,starter,7,0.9086493218407411,0.06224969981914241,0.23825954562267293,0.766603545009941,0.13233596235427003,0.9902438143772585,0.6880678220467985,0.7424959411204977,7.327434575740623,False
8,starter,8,0.586371443677204,0.8807357258320967,0.7450207519799246,0.5460348489242288,0.009648877991745852,0.748991763293703,0.230907069700228,0.09791562279072463,7.299872046566419,False
8,starter,9,0.7611373255704504,0.854672389975273,0.3821243305126353,0.3373519833714853,0.6897083204676573,0.309853052128114,0.6313796832481015,0.04195606945702324,7.957874742347002,False
8,starter,10,0.9849332023684456,0.699506257510517,0.9988854968558359,0.1801484564734902,0.5801431474590741,0.23108719071812645,0.49082693604016725,0.3136827199071327,5.5921933895401965,False
8,starter,11,0.1120713135258371,0.4377356632709851,0.5965987845349814,0.5927756332692748,0.22698177026421584,0.410104518579152,0.9212375769715897,0.6747527590271146,7.854540990501387,False
8,starter,12,0.7918875083599708,0.5761913364959048,0.694528358625625,0.2834237819617862,0.13675546079122003,0.2791618612905221,0.8427672639356422,0.6253279221470336,6.791985783133633,False
8,starter,13,0.14355029577309197,0.9374145150809793,0.23232481818451745,0.009043485399991336,0.4145789302289685,0.4093251687604176,0.5537785219652758,0.20584080042030672,8.976554022457023,False
8,starter,14,0.7699165478399272,0.45875908817256894,0.5590004449351031,0.6946044409635028,0.5031990218946366,0.7283463833634245,0.7842535335112031,0.6631310870647315,7.3790829035972365,False
8,starter,15,0.056447411065611686,0.06595555344270987,0.02292867798954412,0.038786472359111146,0.4039354405187773,0.8010553292222439,0.48830700691299356,0.8930849765397529,9.598482002566342,False
8,starter,16,0.862437445195637,0.4827338218170769,0.28186939752580076,0.544102226961036,0.8874902597447282,0.3826546933826803,0.6019019931738884,0.47646168993836713,8.159983191736115,False
8,starter,17,0.3515119035541264,0.5900649415627213,0.9094363038223953,0.6784083544886467,0.21282565568766132,0.08846038028280967,0.4101529952003363,0.19572429180521933,7.13162396619294,False
8,starter,18,0.7359036382606751,0.034611889467043744,0.7280302688140585,0.1474265221762523,0.29574313911127403,0.44511730809321737,0.9751796858332948,0.37433978382753086,6.767962534878629,False
8,starter,19,0.6802939736172952,0.2551046463457628,0.8621879852983879,0.13439582095073133,0.3263292003246011,0.287906870894322,0.4350104839414024,0.3642001263818675,7.433744072022712,False
8,starter,20,0.044329253217857634,0.01358148717602381,0.2581982401822518,0.5776441629885444,0.051279922965055236,0.15856307126952174,0.5910301241317102,0.07795293354499289,9.013075145673822,False
8,starter,21,0.7783454804473839,0.7511456516949558,0.31414220834874496,0.9029857747482919,0.33538165630395655,0.386322669049742,0.7489724863409535,0.9887551042522277,7.310893815253165,False
8,starter,22,0.8988871113809896,0.5236417047300064,0.8767832549791625,0.21869644907543073,0.900260893961298,0.28276624456015786,0.911077910137385,0.4723982183384873,5.841067313187262,False
8,starter,23,0.14512028581190983,0.11932754034068549,0.42088822447853236,0.3876086068404241,0.15542283258858014,0.875171626087512,0.5105596718475363,0.7286105792079107,9.141639493309754,False
8,starter,24,0.33895441869387377,0.5669320176320151,0.37675109831120723,0.0989157289758148,0.6594516874356163,0.24554808965847674,0.7624827837090847,0.7321534670964162,8.817558441363609,False
8,starter,25,0.1761500180844321,0.2939614278857575,0.9756799659722835,0.7939363059928646,0.9234007619715962,0.030842293760606432,0.8032545236530582,0.5958975826419103,6.451943125106222,False
8,starter,26,0.028946630211276192,0.02827905775516104,0.4813715545782372,0.6131746000769195,0.6726604483911784,0.022113406876058894,0.6014833018831927,0.5248850529741089,8.83074504574746,False
