pair_id,target,role,function,event_week,amplitude,energy,temporal_dispersion,sign_change_rate,peak_spacing,persistence,amplification,delta2_energy,flicker_density
7,positive_event,matched non-event,3,8,3.56950457752597,4.9948914129425415,0.7749101825276413,0.5,2.0,0.4,2.3099327933302076,14.030551073197039,0.4
8,positive_event,event,3,10,5.084968201880445,9.665823625068194,0.5795536452162989,0.5,1.0,0.4,-2.95175439764041,32.867993157009714,0.4
8,positive_event,matched non-event,3,9,4.034446132613634,6.383218774083415,0.7735972207072369,0.75,1.5,0.4,0.8328863155174019,21.96118941453213,0.4
9,positive_event,event,3,11,6.87518511229466,17.25579546038066,0.6142239535843568,0.75,1.5,0.4,-3.0113194645905104,55.6598534222439,0.4
9,positive_event,matched non-event,3,9,4.034446132613634,6.383218774083415,0.7735972207072369,0.75,1.5,0.4,0.8328863155174019,21.96118941453213,0.4
10,positive_event,event,3,12,7.186765325589547,10.689643903376723,0.5664432213914405,0.5,2.0,0.4,-2.0314363975720022,14.480698307080015,0.2
10,positive_event,matched non-event,3,9,4.034446132613634,6.383218774083415,0.7735972207072369,0.75,1.5,0.4,0.8328863155174019,21.96118941453213,0.4
11,positive_event,event,3,13,1.0,0.402247261560232,0.8170796808465998,0.25,5.0,0.6,0.12000979125230969,0.7372946844445869,0.0
11,positive_event,matched non-event,3,9,4.034446132613634,6.383218774083415,0.7735972207072369,0.75,1.5,0.4,0.8328863155174019,21.96118941453213,0.4
12,positive_event,event,4,7,2.3456659344062163,1.6488583804503545,1.034923178194396,0.5,1.0,0.6,-1.4965768934816543,4.033544768880691,0.2
12,positive_event,matched non-event,4,8,2.4701217847400065,1.7317434407727341,1.510473594896531,0.5,3.0,0.6,0.5061111322756146,3.1779944172997006,0.2
13,positive_event,event,4,9,2.557877625901811,1.635144766078707,1.0412506334368261,0.5,1.0,0.6,0.7051079231547108,4.229990410758327,0.2
13,positive_event,matched non-event,4,8,2.4701217847400065,1.7317434407727341,1.510473594896531,0.5,3.0,0.6,0.5061111322756146,3.1779944172997006,0.2
14,positive_event,event,4,11,4.1847063620771,3.667456939780839,0.3150164334308714,1.0,1.0,0.2,-2.982371604548017,11.303443684389372,0.2
14,positive_event,matched non-event,4,10,3.1750340206691265,2.2125081087605314,0.4796782236268936,0.75,1.0,0.4,-1.5632051665430586,6.485150045448683,0.2
15,positive_event,event,4,12,3.1750340206691265,2.4005248888891995,1.4348321033302756,1.0,1.0,0.2,-1.0067590887339677,3.614373119545288,0.2
15,positive_event,matched non-event,4,13,1.7622063420078597,0.6698468596416465,0.5556285023364779,0.75,1.0,0.4,1.7263430474616317,1.8953204892841327,0.2
16,positive_event,event,5,7,2.010176050350335,1.5153681527032825,1.2302918273251908,0.0,5.0,1.0,-0.9693325905527016,0.24242339479454378,0.2
16,positive_event,matched non-event,5,10,1.1783408286053512,0.5488575103192469,0.953102480975615,0.0,5.0,1.0,-1.9890433859203354,0.23362097030574092,0.0
17,positive_event,event,5,8,1.2668297066558187,0.9309296060090286,1.415557495448078,0.0,5.0,1.0,-0.5753443972124402,0.10627458366560424,0.0
17,positive_event,matched non-event,5,10,1.1783408286053512,0.5488575103192469,0.953102480975615,0.0,5.0,1.0,-1.9890433859203354,0.23362097030574092,0.0
18,positive_event,event,5,9,1.1171146962059522,0.6917074658398652,1.1534255816792371,0.0,5.0,1.0,-0.835098638096545,0.2101845103573559,0.0
18,positive_event,matched non-event,5,10,1.1783408286053512,0.5488575103192469,0.953102480975615,0.0,5.0,1.0,-1.9890433859203354,0.23362097030574092,0.0
19,positive_event,event,5,11,0.9451926175464875,0.2711600886475777,0.5442475137974742,0.0,5.0,0.8,-2.6000813200548523,0.16300587130381186,0.0
19,positive_event,matched non-event,5,10,1.1783408286053512,0.5488575103192469,0.953102480975615,0.0,5.0,1.0,-1.9890433859203354,0.23362097030574092,0.0
20,positive_event,event,5,12,1.0,0.2126395133935069,0.3331688302647899,0.0,5.0,0.6,-2.538952208253779,0.1566673557391694,0.0
20,positive_event,matched non-event,5,10,1.1783408286053512,0.5488575103192469,0.953102480975615,0.0,5.0,1.0,-1.9890433859203354,0.23362097030574092,0.0
21,positive_event,event,5,13,0.270086299967994,0.018604536885298645,0.8996801670768226,0.0,5.0,0.4,-0.9313675384007929,0.009982482767102148,0.0
21,positive_event,matched non-event,5,10,1.1783408286053512,0.5488575103192469,0.953102480975615,0.0,5.0,1.0,-1.9890433859203354,0.23362097030574092,0.0
22,positive_event,event,6,7,4.654952183502282,8.754583527211071,0.7669176462638415,0.5,1.0,0.6,-2.331013366107514,28.188157534379137,0.4
22,positive_event,matched non-event,6,8,5.032694994442753,5.695426601610736,0.9204224430229008,0.5,3.0,0.6,-1.4540899795055635,9.526607102342632,0.2
23,positive_event,event,6,11,1.3600276387963477,0.6605686378521499,0.7558267532881917,0.5,1.0,0.6,-1.989398971530191,1.9306978202647238,0.0
23,positive_event,matched non-event,6,10,1.2616993790202002,0.6954260414862523,0.790029883335536,0.5,1.0,0.4,-2.4421049577283647,1.7085236782086444,0.0
24,positive_event,event,6,12,2.072212453318168,1.1089407890839182,1.6214375779152996,0.5,3.0,0.6,0.9743496371542093,1.6219885758481514,0.2
24,positive_event,matched non-event,6,10,1.2616993790202002,0.6954260414862523,0.790029883335536,0.5,1.0,0.4,-2.4421049577283647,1.7085236782086444,0.0
25,positive_event,event,6,13,2.2337065840194676,1.022755516922817,0.23804317424920932,0.25,5.0,0.6,2.5213096877289534,2.7050819348678,0.2
25,positive_event,matched non-event,6,10,1.2616993790202002,0.6954260414862523,0.790029883335536,0.5,1.0,0.4,-2.4421049577283647,1.7085236782086444,0.0
26,positive_event,event,7,8,1.5689445325415976,1.0607426203766166,1.328992158046628,0.5,2.0,0.4,-0.9496274486713229,2.12724640433378,0.2
26,positive_event,matched non-event,7,7,1.6307892080414519,1.283041206609329,1.0757325738683237,0.5,2.0,0.4,-0.8867272100143351,2.127546397034266,0.2
27,positive_event,event,7,11,1.1015508046303146,0.455269277915136,0.5920778483416924,0.5,1.0,0.4,-1.6185025904158141,1.6381866810346533,0.0
27,positive_event,matched non-event,7,10,1.0900750962803263,0.6449032650183816,1.2184434345196842,0.75,1.5,0.4,-0.06802413169327422,1.942364068076482,0.0
28,positive_event,event,7,12,1.124145758370506,0.5030318668683159,1.04067498833138,0.75,1.5,0.4,-1.5938684361091284,1.5560585703474796,0.0
28,positive_event,matched non-event,7,13,1.0418829996084653,0.264422494787808,1.1204763632925352,0.5,2.0,0.4,-0.8514352091570545,0.4440050384515172,0.0
29,positive_event,event,8,11,1.0,0.4109879084993593,0.7885641337024646,0.25,5.0,0.8,-0.823595661876476,0.45683068683612105,0.0
29,positive_event,matched non-event,8,10,1.1681195516812082,0.5436747484603864,1.3148696284120538,0.5,1.0,0.6,-0.3484860468855097,0.746946136573375,0.0
1,large_event,event,1,11,1.0,0.20000000000000875,2.0933985559835265e-07,0.0,5.0,0.4,-2.5849627523991106,0.24999989533009415,0.0
1,large_event,matched non-event,1,10,1.0,0.39999546560961163,0.499999999967917,0.25,5.0,0.4,-3.4594241847776694,1.2499885593219748,0.0
2,large_event,event,3,7,3.6094957370192,3.194360955373066,0.8299950686030799,0.5,2.0,0.4,2.4382381794522123,3.434325461374429,0.2
2,large_event,matched non-event,3,8,3.56950457752597,4.9948914129425415,0.7749101825276413,0.5,2.0,0.4,2.3099327933302076,14.030551073197039,0.4
3,large_event,event,4,7,2.3456659344062163,1.6488583804503545,1.034923178194396,0.5,1.0,0.6,-1.4965768934816543,4.033544768880691,0.2
3,large_event,matched non-event,4,8,2.4701217847400065,1.7317434407727341,1.510473594896531,0.5,3.0,0.6,0.5061111322756146,3.1779944172997006,0.2
4,large_event,event,4,11,4.1847063620771,3.667456939780839,0.3150164334308714,1.0,1.0,0.2,-2.982371604548017,11.303443684389372,0.2
4,large_event,matched non-event,4,10,3.1750340206691265,2.2125081087605314,0.4796782236268936,0.75,1.0,0.4,-1.5632051665430586,6.485150045448683,0.2
5,large_event,event,6,11,1.3600276387963477,0.6605686378521499,0.7558267532881917,0.5,1.0,0.6,-1.989398971530191,1.9306978202647238,0.0
5,large_event,matched non-event,6,10,1.2616993790202002,0.6954260414862523,0.790029883335536,0.5,1.0,0.4,-2.4421049577283647,1.7085236782086444,0.0
6,large_event,event,8,11,1.0,0.4109879084993593,0.7885641337024646,0.25,5.0,0.8,-0.823595661876476,0.45683068683612105,0.0
6,large_event,matched non-event,8,10,1.1681195516812082,0.5436747484603864,1.3148696284120538,0.5,1.0,0.6,-0.3484860468855097,0.746946136573375,0.0
1,new_best_event,event,2,11,1.2219054957021944,0.8539949724505114,0.8921260794354229,1.0,1.0,0.2,-1.7105972156760512,3.476062027668375,0.0
1,new_best_event,matched non-event,2,10,1.178590266104118,0.9349955169422804,1.0996464463275015,1.0,1.0,0.2,-0.30404616454204747,4.061694372630903,0.0
2,new_best_event,event,2,12,1.289611571810254,0.7032547004257287,0.7387787898477117,0.75,1.0,0.4,-2.120750542894115,2.4047857372076846,0.0
2,new_best_event,matched non-event,2,13,1.3489020884884704,0.49045503844375615,1.4745996334651272,0.5,1.0,0.6,-0.9062318341273009,0.8918311964183127,0.0
3,new_best_event,event,3,12,7.186765325589547,10.689643903376723,0.5664432213914405,0.5,2.0,0.4,-2.0314363975720022,14.480698307080015,0.2
3,new_best_event,matched non-event,3,11,6.87518511229466,17.25579546038066,0.6142239535843568,0.75,1.5,0.4,-3.0113194645905104,55.6598534222439,0.4
4,new_best_event,event,3,13,1.0,0.402247261560232,0.8170796808465998,0.25,5.0,0.6,0.12000979125230969,0.7372946844445869,0.0
4,new_best_event,matched non-event,3,11,6.87518511229466,17.25579546038066,0.6142239535843568,0.75,1.5,0.4,-3.0113194645905104,55.6598534222439,0.4
5,new_best_event,event,5,7,2.010176050350335,1.5153681527032825,1.2302918273251908,0.0,5.0,1.0,-0.9693325905527016,0.24242339479454378,0.2
5,new_best_event,matched non-event,5,10,1.1783408286053512,0.5488575103192469,0.953102480975615,0.0,5.0,1.0,-1.9890433859203354,0.23362097030574092,0.0
6,new_best_event,event,5,8,1.2668297066558187,0.9309296060090286,1.415557495448078,0.0,5.0,1.0,-0.5753443972124402,0.10627458366560424,0.0
6,new_best_event,matched non-event,5,10,1.1783408286053512,0.5488575103192469,0.953102480975615,0.0,5.0,1.0,-1.9890433859203354,0.23362097030574092,0.0
7,new_best_event,event,5,9,1.1171146962059522,0.6917074658398652,1.1534255816792371,0.0,5.0,1.0,-0.835098638096545,0.2101845103573559,0.0
7,new_best_event,matched non-event,5,10,1.1783408286053512,0.5488575103192469,0.953102480975615,0.0,5.0,1.0,-1.9890433859203354,0.23362097030574092,0.0
8,new_best_event,event,5,11,0.9451926175464875,0.2711600886475777,0.5442475137974742,0.0,5.0,0.8,-2.6000813200548523,0.16300587130381186,0.0
8,new_best_event,matched non-event,5,10,1.1783408286053512,0.5488575103192469,0.953102480975615,0.0,5.0,1.0,-1.9890433859203354,0.23362097030574092,0.0
9,new_best_event,event,5,12,1.0,0.2126395133935069,0.3331688302647899,0.0,5.0,0.6,-2.538952208253779,0.1566673557391694,0.0
9,new_best_event,matched non-event,5,10,1.1783408286053512,0.5488575103192469,0.953102480975615,0.0,5.0,1.0,-1.9890433859203354,0.23362097030574092,0.0
10,new_best_event,event,5,13,0.270086299967994,0.018604536885298645,0.8996801670768226,0.0,5.0,0.4,-0.9313675384007929,0.009982482767102148,0.0
10,new_best_event,matched non-event,5,10,1.1783408286053512,0.5488575103192469,0.953102480975615,0.0,5.0,1.0,-1.9890433859203354,0.23362097030574092,0.0
11,new_best_event,event,6,13,2.2337065840194676,1.022755516922817,0.23804317424920932,0.25,5.0,0.6,2.5213096877289534,2.7050819348678,0.2
11,new_best_event,matched non-event,6,12,2.072212453318168,1.1089407890839182,1.6214375779152996,0.5,3.0,0.6,0.9743496371542093,1.6219885758481514,0.2
