function,event_week,current_change,positive_event,large_event,new_best_event,large_event_threshold,amplitude,energy,temporal_dispersion,sign_change_rate,peak_spacing,persistence,amplification,delta2_energy,flicker_density,first_flicker_lag,behaviour
3,9,-0.016559946869867906,0,0,0,0.08031328461824715,4.034446132613634,6.383218774083415,0.7735972207072369,0.75,1.5,0.4,0.8328863155174019,21.96118941453213,0.4,-3.0,Amplifying oscillation
3,10,0.028694893737790994,1,0,0,0.06372107113782173,5.084968201880445,9.665823625068194,0.5795536452162989,0.5,1.0,0.4,-2.95175439764041,32.867993157009714,0.4,-4.0,Intermittent oscillation
3,11,0.021545992663813004,1,0,0,0.04712885765739631,6.87518511229466,17.25579546038066,0.6142239535843568,0.75,1.5,0.4,-3.0113194645905104,55.6598534222439,0.4,-5.0,Damped oscillation
3,12,0.005578548884218604,1,0,1,0.045085599132041396,7.186765325589547,10.689643903376723,0.5664432213914405,0.5,2.0,0.4,-2.0314363975720022,14.480698307080015,0.2,-5.0,Intermittent oscillation
3,13,0.0030006593111592955,1,0,1,0.04304234060668649,1.0,0.402247261560232,0.8170796808465998,0.25,5.0,0.6,0.12000979125230969,0.7372946844445869,0.0,,Irregular flicker
4,7,20.45751639264504,1,1,0,11.996771963689522,2.3456659344062163,1.6488583804503545,1.034923178194396,0.5,1.0,0.6,-1.4965768934816543,4.033544768880691,0.2,-5.0,Intermittent oscillation
4,8,-1.5590475140521693,0,0,0,12.422980428957858,2.4701217847400065,1.7317434407727341,1.510473594896531,0.5,3.0,0.6,0.5061111322756146,3.1779944172997006,0.2,-1.0,Intermittent oscillation
4,9,0.5160689280287443,1,0,0,11.996771963689522,2.557877625901811,1.635144766078707,1.0412506334368261,0.5,1.0,0.6,0.7051079231547108,4.229990410758327,0.2,-2.0,Intermittent oscillation
4,10,-1.6947026858726133,0,0,0,9.664864813795143,3.1750340206691265,2.2125081087605314,0.4796782236268936,0.75,1.0,0.4,-1.5632051665430586,6.485150045448683,0.2,-3.0,Damped oscillation
4,11,8.614789667334044,1,1,0,7.332957663900764,4.1847063620771,3.667456939780839,0.3150164334308714,1.0,1.0,0.2,-2.982371604548017,11.303443684389372,0.2,-4.0,Damped oscillation
4,12,0.508978061114675,1,0,0,9.664864813795143,3.1750340206691265,2.4005248888891995,1.4348321033302756,1.0,1.0,0.2,-1.0067590887339677,3.614373119545288,0.2,-5.0,Damped oscillation
4,13,0.0,0,0,0,7.332957663900764,1.7622063420078597,0.6698468596416465,0.5556285023364779,0.75,1.0,0.4,1.7263430474616317,1.8953204892841327,0.2,-2.0,Amplifying oscillation
5,7,356.05141472728246,1,0,1,665.8165403548851,2.010176050350335,1.5153681527032825,1.2302918273251908,0.0,5.0,1.0,-0.9693325905527016,0.24242339479454378,0.2,-5.0,Directed movement
5,8,80.56749624571694,1,0,1,630.9155126818123,1.2668297066558187,0.9309296060090286,1.415557495448078,0.0,5.0,1.0,-0.5753443972124402,0.10627458366560424,0.0,,Directed movement
5,9,35.48390815874518,1,0,1,596.0144850087395,1.1171146962059522,0.6917074658398652,1.1534255816792371,0.0,5.0,1.0,-0.835098638096545,0.2101845103573559,0.0,,Directed movement
5,10,0.0,0,0,0,565.0458035498316,1.1783408286053512,0.5488575103192469,0.953102480975615,0.0,5.0,1.0,-1.9890433859203354,0.23362097030574092,0.0,,Directed movement
5,11,16.170693124728132,1,0,1,565.0458035498316,0.9451926175464875,0.2711600886475777,0.5442475137974742,0.0,5.0,0.8,-2.6000813200548523,0.16300587130381186,0.0,,Directed movement
5,12,16.305260200271732,1,0,1,534.0771220909237,1.0,0.2126395133935069,0.3331688302647899,0.0,5.0,0.6,-2.538952208253779,0.1566673557391694,0.0,,Irregular flicker
5,13,13.613220792304674,1,0,1,447.4541818037295,0.270086299967994,0.018604536885298645,0.8996801670768226,0.0,5.0,0.4,-0.9313675384007929,0.009982482767102148,0.0,,Irregular flicker
6,7,0.2595137682039885,1,0,0,0.45802772151188953,4.654952183502282,8.754583527211071,0.7669176462638415,0.5,1.0,0.6,-2.331013366107514,28.188157534379137,0.4,-5.0,Intermittent oscillation
6,8,-4.342758371800315e-06,0,0,0,0.42364918690893616,5.032694994442753,5.695426601610736,0.9204224430229008,0.5,3.0,0.6,-1.4540899795055635,9.526607102342632,0.2,-5.0,Intermittent oscillation
6,9,-0.053585160397679577,0,0,0,0.3892706523059828,1.1766304980830171,0.7459810941793434,1.0699628981148868,0.5,1.0,0.6,-0.6149116565425846,1.4773824299935883,0.0,,Intermittent oscillation
6,10,-0.05507769374532545,0,0,0,0.363024448714226,1.2616993790202002,0.6954260414862523,0.790029883335536,0.5,1.0,0.4,-2.4421049577283647,1.7085236782086444,0.0,,Intermittent oscillation
6,11,0.5015091889897212,1,1,0,0.3367782451224693,1.3600276387963477,0.6605686378521499,0.7558267532881917,0.5,1.0,0.6,-1.989398971530191,1.9306978202647238,0.0,,Intermittent oscillation
6,12,0.019039894653331224,1,0,0,0.363024448714226,2.072212453318168,1.1089407890839182,1.6214375779152996,0.5,3.0,0.6,0.9743496371542093,1.6219885758481514,0.2,-1.0,Intermittent oscillation
6,13,0.10067538823071598,1,0,1,0.3367782451224693,2.2337065840194676,1.022755516922817,0.23804317424920932,0.25,5.0,0.6,2.5213096877289534,2.7050819348678,0.2,-2.0,Irregular flicker
7,7,-0.19861330460941895,0,0,0,0.27614943318842256,1.6307892080414519,1.283041206609329,1.0757325738683237,0.5,2.0,0.4,-0.8867272100143351,2.127546397034266,0.2,-3.0,Intermittent oscillation
7,8,0.18030335393933505,1,0,0,0.2870346950512755,1.5689445325415976,1.0607426203766166,1.328992158046628,0.5,2.0,0.4,-0.9496274486713229,2.12724640433378,0.2,-4.0,Intermittent oscillation
7,9,-0.020331169868029297,0,0,0,0.27614943318842256,1.6307892080414519,1.1611289255387522,1.5984697525138587,0.5,2.0,0.4,-0.3260212855374446,1.7050671778327016,0.2,-5.0,Intermittent oscillation
7,10,-0.029147835108088938,0,0,0,0.27330223204871257,1.0900750962803263,0.6449032650183816,1.2184434345196842,0.75,1.5,0.4,-0.06802413169327422,1.942364068076482,0.0,,Stable oscillation
7,11,0.07275069038118631,1,0,0,0.2704550309090026,1.1015508046303146,0.455269277915136,0.5920778483416924,0.5,1.0,0.4,-1.6185025904158141,1.6381866810346533,0.0,,Intermittent oscillation
7,12,0.02301914163758423,1,0,0,0.2650189752492375,1.124145758370506,0.5030318668683159,1.04067498833138,0.75,1.5,0.4,-1.5938684361091284,1.5560585703474796,0.0,,Damped oscillation
7,13,0.0,0,0,0,0.25958291958947244,1.0418829996084653,0.264422494787808,1.1204763632925352,0.5,2.0,0.4,-0.8514352091570545,0.4440050384515172,0.0,,Intermittent oscillation
8,7,-0.020039999999999836,0,0,0,0.08420999999999879,1.718560741004682,1.259504503538408,0.7996137365799866,0.75,1.0,0.4,-1.7925676347570338,3.8633994813467427,0.2,-3.0,Damped oscillation
8,8,-0.0185499999999994,0,0,0,0.06320999999999977,2.2895111532985717,1.9256670366075421,0.7579106251118157,1.0,1.0,0.2,-2.5409744883438963,6.846884320554439,0.4,-5.0,Damped oscillation
8,9,-0.005266400000000004,0,0,0,0.04221000000000075,3.4285714285714195,2.7424568951364323,0.9052370333740125,0.75,1.0,0.4,-1.5585555416289953,5.394764962122009,0.2,-5.0,Damped oscillation
8,10,-0.006291100000000327,0,0,0,0.03613500000000025,1.1681195516812082,0.5436747484603864,1.3148696284120538,0.5,1.0,0.6,-0.3484860468855097,0.746946136573375,0.0,,Intermittent oscillation
8,11,0.11558750000000018,1,1,0,0.030059999999999754,1.0,0.4109879084993593,0.7885641337024646,0.25,5.0,0.8,-0.823595661876476,0.45683068683612105,0.0,,Directed movement
8,12,0.0,0,0,0,0.03613500000000025,4.798152760481502,4.884646173231942,0.8032894487039732,0.25,5.0,0.8,1.5453449513301836,6.476559241664284,0.2,-1.0,Directed movement
8,13,0.0,0,0,0,0.03613500000000025,4.798152760481502,4.7462411571729275,0.4786452023592776,0.25,5.0,0.6,2.0720800155122934,12.231170321262987,0.2,-2.0,Irregular flicker
